fill	x	y	xmin	xmax	ymin	ymax
#F6EBEA	9580	24	9555	9605	-1	49
#D9D4EA	9630	24	9605	9655	-1	49
#DCD8EC	9630	74	9605	9655	49	99
#F6F5FA	9680	74	9655	9705	49	99
#EEECF6	9680	124	9655	9705	99	149
#FCFCFD	9730	124	9705	9755	99	149
#A399CD	9730	174	9705	9755	149	199
#C6BFE0	9780	174	9755	9805	149	199
#AEA5D3	9780	224	9755	9805	199	249
#BBB3DA	9830	224	9805	9855	199	249
#3A3A98	9830	274	9805	9855	249	299
#D2CCE7	9880	274	9855	9905	249	299
#A096CB	9880	324	9855	9905	299	349
#B0A7D4	9930	324	9905	9955	299	349
#504AA2	9930	374	9905	9955	349	399
#9F94CA	9980	374	9955	10005	349	399
#E7E4F2	9680	24	9655	9705	-1	49
#F1EFF7	9780	124	9755	9805	99	149
#A9A0D0	9880	224	9855	9905	199	249
#FAF9FC	9730	74	9705	9755	49	99
#E6E2F1	9830	174	9805	9855	149	199
#D8D3EA	9930	274	9905	9955	249	299
#8176BA	9980	324	9955	10005	299	349
#E3DFF0	9730	24	9705	9755	-1	49
#E8E5F3	9780	74	9755	9805	49	99
#DDD9ED	9830	124	9805	9855	99	149
#BDB5DB	9880	174	9855	9905	149	199
#E2DEEF	9930	224	9905	9955	199	249
#CDC6E4	9980	274	9955	10005	249	299
#9C91C9	10030	324	10005	10055	299	349
#E2DEEF	9780	24	9755	9805	-1	49
#F2E2E0	9880	124	9855	9905	99	149
#ECD5D2	9980	224	9955	10005	199	249
#F6F5FA	9830	74	9805	9855	49	99
#E0DCEE	9930	174	9905	9955	149	199
#B7AED8	10030	274	10005	10055	249	299
#E8E5F3	9830	24	9805	9855	-1	49
#FEFEFF	9880	74	9855	9905	49	99
#F7ECEB	9930	124	9905	9955	99	149
#F3E3E1	9980	174	9955	10005	149	199
#EAD2CE	10030	224	10005	10055	199	249
#D0C9E5	10080	274	10055	10105	249	299
#FDFCFE	9880	24	9855	9905	-1	49
#F2E1DF	9980	124	9955	10005	99	149
#F5F4FA	10080	224	10055	10105	199	249
#F9F2F1	9930	74	9905	9955	49	99
#E1BFBB	10030	174	10005	10055	149	199
#E4E0F0	9930	24	9905	9955	-1	49
#FDFDFE	9980	74	9955	10005	49	99
#F6EAE9	10030	124	10005	10055	99	149
#FFFFFF	10080	174	10055	10105	149	199
#DEDAED	10130	224	10105	10155	199	249
#EEECF6	9980	24	9955	10005	-1	49
#F6EAE8	10080	124	10055	10105	99	149
#E9E6F3	10030	74	10005	10055	49	99
#C2BADE	10130	174	10105	10155	149	199
#D3CDE7	10030	24	10005	10055	-1	49
#F9F1F0	10080	74	10055	10105	49	99
#E4C4C0	10130	124	10105	10155	99	149
#F5E9E7	10180	174	10155	10205	149	199
#F6F5FA	10080	24	10055	10105	-1	49
#EDD7D4	10180	124	10155	10205	99	149
#EFDBD8	10130	74	10105	10155	49	99
#F0EDF7	10130	24	10105	10155	-1	49
#ECD6D3	10180	74	10155	10205	49	99
#F3E4E1	10230	124	10205	10255	99	149
#D4CFE8	10180	24	10155	10205	-1	49
#F6F4FA	10230	74	10205	10255	49	99
#FEFDFD	10230	24	10205	10255	-1	49
#FCF8F7	10280	74	10255	10305	49	99
#EAE7F4	10280	24	10255	10305	-1	49
#F1EFF7	10330	24	10305	10355	-1	49
