fill	x	y	xmin	xmax	ymin	ymax
#000000	0	0	-0.125	0.125	-2.5	2.5
#0B0B0B	-0.25	0	-0.375	-0.125	-2.5	2.5
#161616	0.5	0	0.375	0.625	-2.5	2.5
#C4C4C4	1.25	10	1.125	1.375	7.5	12.5
#0A0A0A	0.25	0	0.125	0.375	-2.5	2.5
#262626	0.75	0	0.625	0.875	-2.5	2.5
#181818	-0.5	0	-0.625	-0.375	-2.5	2.5
#3C3C3C	1.25	0	1.125	1.375	-2.5	2.5
#2B2B2B	1	0	0.875	1.125	-2.5	2.5
#212121	-0.75	0	-0.875	-0.625	-2.5	2.5
#7F7F7F	1	5	0.875	1.125	2.5	7.5
#343434	-1	0	-1.125	-0.875	-2.5	2.5
#474747	-1.5	0	-1.625	-1.375	-2.5	2.5
#3E3E3E	1.5	0	1.375	1.625	-2.5	2.5
#383838	-1.25	0	-1.375	-1.125	-2.5	2.5
#4B4B4B	1.75	0	1.625	1.875	-2.5	2.5
#3A3A3A	2	0	1.875	2.125	-2.5	2.5
#4B4B4B	-2.5	0	-2.625	-2.375	-2.5	2.5
#5A5A5A	-2	0	-2.125	-1.875	-2.5	2.5
#5A5A5A	-3	0	-3.125	-2.875	-2.5	2.5
#6B6B6B	2.25	0	2.125	2.375	-2.5	2.5
#7C7C7C	2.5	0	2.375	2.625	-2.5	2.5
#3D3D3D	-1.75	0	-1.875	-1.625	-2.5	2.5
#646464	-2.25	0	-2.375	-2.125	-2.5	2.5
#595959	3.25	0	3.125	3.375	-2.5	2.5
#4A4A4A	2.75	0	2.625	2.875	-2.5	2.5
#7D7D7D	4	0	3.875	4.125	-2.5	2.5
#6C6C6C	-3.5	0	-3.625	-3.375	-2.5	2.5
#808080	-3.75	0	-3.875	-3.625	-2.5	2.5
#6A6A6A	3.5	0	3.375	3.625	-2.5	2.5
#BDBDBD	0.5	10	0.375	0.625	7.5	12.5
#D5D5D5	1.25	15	1.125	1.375	12.5	17.5
#727272	0.75	5	0.625	0.875	2.5	7.5
#8E8E8E	-4	0	-4.125	-3.875	-2.5	2.5
#C4C4C4	4.75	5	4.625	4.875	2.5	7.5
#6D6D6D	-0.5	5	-0.625	-0.375	2.5	7.5
#9C9C9C	-0.75	10	-0.875	-0.625	7.5	12.5
#777777	-0.75	5	-0.875	-0.625	2.5	7.5
#C9C9C9	-1	15	-1.125	-0.875	12.5	17.5
#D5D5D5	-1.25	15	-1.375	-1.125	12.5	17.5
#C4C4C4	3.25	5	3.125	3.375	2.5	7.5
#A3A3A3	3	0	2.875	3.125	-2.5	2.5
#848484	4.25	0	4.125	4.375	-2.5	2.5
#A4A4A4	-1	10	-1.125	-0.875	7.5	12.5
#8C8C8C	1.25	5	1.125	1.375	2.5	7.5
#A1A1A1	1.75	5	1.625	1.875	2.5	7.5
#989898	1.5	5	1.375	1.625	2.5	7.5
#B8B8B8	-2.25	5	-2.375	-2.125	2.5	7.5
#6D6D6D	0.5	5	0.375	0.625	2.5	7.5
#BDBDBD	4.5	0	4.375	4.625	-2.5	2.5
#949494	-0.25	5	-0.375	-0.125	2.5	7.5
#E2E2E2	5	5	4.875	5.125	2.5	7.5
#A1A1A1	-4.25	0	-4.375	-4.125	-2.5	2.5
#9E9E9E	0.75	10	0.625	0.875	7.5	12.5
#B2B2B2	-4.5	0	-4.625	-4.375	-2.5	2.5
#B8B8B8	1	15	0.875	1.125	12.5	17.5
#8D8D8D	-2.75	0	-2.875	-2.625	-2.5	2.5
#838383	-1	5	-1.125	-0.875	2.5	7.5
#8E8E8E	-1.25	5	-1.375	-1.125	2.5	7.5
#BDBDBD	2.25	5	2.125	2.375	2.5	7.5
#A5A5A5	2	5	1.875	2.125	2.5	7.5
#E2E2E2	-1.5	20	-1.625	-1.375	17.5	22.5
#C6C6C6	-4.5	5	-4.625	-4.375	2.5	7.5
#D5D5D5	4.5	5	4.375	4.625	2.5	7.5
#A5A5A5	1	10	0.875	1.125	7.5	12.5
#EDEDED	1.5	25	1.375	1.625	22.5	27.5
#9D9D9D	-1.5	5	-1.625	-1.375	2.5	7.5
#AFAFAF	-2	5	-2.125	-1.875	2.5	7.5
#979797	0.25	5	0.125	0.375	2.5	7.5
#DBDBDB	1.5	15	1.375	1.625	12.5	17.5
#E2E2E2	1.75	10	1.625	1.875	7.5	12.5
#CDCDCD	-0.75	15	-0.875	-0.625	12.5	17.5
#DBDBDB	1.5	10	1.375	1.625	7.5	12.5
#CDCDCD	-2.75	5	-2.875	-2.625	2.5	7.5
#E2E2E2	1.75	15	1.625	1.875	12.5	17.5
#BFBFBF	-3.25	5	-3.375	-3.125	2.5	7.5
#FFFFFF	2	35	1.875	2.125	32.5	37.5
#FFFFFF	1.25	30	1.125	1.375	27.5	32.5
#CDCDCD	1.5	20	1.375	1.625	17.5	22.5
#BFBFBF	-1.25	10	-1.375	-1.125	7.5	12.5
#B1B1B1	-1.75	5	-1.875	-1.625	2.5	7.5
#D5D5D5	-2.5	5	-2.625	-2.375	2.5	7.5
#CDCDCD	3.5	5	3.375	3.625	2.5	7.5
#DBDBDB	2.5	5	2.375	2.625	2.5	7.5
#C6C6C6	2.75	5	2.625	2.875	2.5	7.5
#B8B8B8	-0.5	10	-0.625	-0.375	7.5	12.5
#EDEDED	-5.25	5	-5.375	-5.125	2.5	7.5
#EDEDED	-1	25	-1.125	-0.875	22.5	27.5
#FFFFFF	2	10	1.875	2.125	7.5	12.5
#CDCDCD	0.75	15	0.625	0.875	12.5	17.5
#FFFFFF	1.75	20	1.625	1.875	17.5	22.5
#DBDBDB	-3	5	-3.125	-2.875	2.5	7.5
#E2E2E2	-5	5	-5.125	-4.875	2.5	7.5
#DBDBDB	-4.75	5	-4.875	-4.625	2.5	7.5
#D5D5D5	-1	20	-1.125	-0.875	17.5	22.5
#FFFFFF	3.75	5	3.625	3.875	2.5	7.5
#FFFFFF	-3.5	5	-3.625	-3.375	2.5	7.5
#FFFFFF	5.25	5	5.125	5.375	2.5	7.5
#E2E2E2	1.25	20	1.125	1.375	17.5	22.5
#EDEDED	1	20	0.875	1.125	17.5	22.5
#FFFFFF	-1.75	15	-1.875	-1.625	12.5	17.5
#FFFFFF	-2	15	-2.125	-1.875	12.5	17.5
#EDEDED	-1.5	10	-1.625	-1.375	7.5	12.5
#EDEDED	-1.5	15	-1.625	-1.375	12.5	17.5
#FFFFFF	-2.25	25	-2.375	-2.125	22.5	27.5
#FFFFFF	2	15	1.875	2.125	12.5	17.5
#EDEDED	-1.5	25	-1.625	-1.375	22.5	27.5
#E2E2E2	-1.25	25	-1.375	-1.125	22.5	27.5
#FFFFFF	-1.25	30	-1.375	-1.125	27.5	32.5
#FFFFFF	1.5	30	1.375	1.625	27.5	32.5
#FFFFFF	1.75	25	1.625	1.875	22.5	27.5
#E2E2E2	-1.25	20	-1.375	-1.125	17.5	22.5
#FFFFFF	-1.75	20	-1.875	-1.625	17.5	22.5
#FFFFFF	-1.5	30	-1.625	-1.375	27.5	32.5
