group	fill	clickSelects
1	#FFFFFF	17
2	#FFFFFF	17
3	#FFFFFF	17
4	#FFFFFF	72
5	#FFFFFF	5
6	#FFFFFF	5
7	#FFFFFF	5
8	#FFFFFF	5
9	#FFFFFF	5
10	#FFFFFF	5
11	#FFFFFF	5
12	#FFFFFF	5
13	#FFFFFF	5
14	#FFFFFF	17
15	#FFFFFF	5
16	#FFFFFF	5
17	#FFFFFF	5
18	#FFFFFF	5
19	#FFFFFF	1762
21	#FFFFFF	5
22	#FFFFFF	5
23	#FFFFFF	5
24	#FFFFFF	5
25	#FFFFFF	488
26	#FFFFFF	5
27	#FFFFFF	5
28	#FFFFFF	5
29	#FFFFFF	5
30	#FFFFFF	5
31	#FFFFFF	60
32	#FFFFFF	5
33	#FFFFFF	287
34	#FFFFFF	287
35	#FFFFFF	287
36	#FFFFFF	17
37	#FFFFFF	60
38	#FFFFFF	60
39	#FFFFFF	1426
40	#FFFFFF	60
41	#FFFFFF	313
42	#FFFFFF	313
43	#FFFFFF	60
44	#FFFFFF	60
45	#FFFFFF	1151
46	#FFFFFF	17
47	#FFFFFF	17
48	#FFFFFF	488
49	#FFFFFF	17
50	#FFFFFF	488
51	#FFFFFF	17
52	#FFFFFF	17
53	#FFFFFF	17
54	#FFFFFF	488
55	#FFFFFF	72
56	#FFFFFF	5
57	#FFFFFF	5
58	#FFFFFF	5
59	#FFFFFF	5
60	#FFFFFF	5
61	#FFFFFF	5
62	#FFFFFF	5
63	#FFFFFF	72
64	#FFFFFF	17
65	#FFFFFF	5
66	#FFFFFF	5
67	#FFFFFF	5
68	#FFFFFF	5
69	#FFFFFF	1762
70	#FFFFFF	5
71	#FFFFFF	5
72	#FFFFFF	5
73	#FFFFFF	5
74	#FFFFFF	5
75	#FFFFFF	488
76	#FFFFFF	896
77	#FFFFFF	896
78	#FFFFFF	5
79	#FFFFFF	5
80	#FFFFFF	5
81	#FFFFFF	60
82	#FFFFFF	60
83	#FFFFFF	287
84	#FFFFFF	60
85	#FFFFFF	287
86	#FFFFFF	488
87	#FFFFFF	60
88	#FFFFFF	60
89	#FFFFFF	60
91	#FFFFFF	60
92	#FFFFFF	60
93	#FFFFFF	60
94	#FFFFFF	60
95	#FFFFFF	60
96	#FFFFFF	1151
97	#FFFFFF	488
98	#FFFFFF	17
99	#FFFFFF	488
100	#FFFFFF	17
101	#FFFFFF	17
102	#FFFFFF	17
103	#FFFFFF	17
104	#FFFFFF	17
105	#FFFFFF	72
106	#FFFFFF	5
107	#FFFFFF	5
108	#FFFFFF	72
109	#FFFFFF	5
110	#FFFFFF	5
111	#FFFFFF	5
112	#FFFFFF	5
113	#FFFFFF	72
114	#FFFFFF	72
115	#FFFFFF	17
116	#FFFFFF	5
117	#FFFFFF	5
118	#FFFFFF	5
119	#FFFFFF	5
121	#FFFFFF	5
122	#FFFFFF	5
123	#FFFFFF	5
124	#FFFFFF	5
125	#FFFFFF	896
126	#FFFFFF	488
127	#FFFFFF	896
129	#FFFFFF	5
130	#FFFFFF	5
131	#FFFFFF	828
132	#FFFFFF	60
133	#FFFFFF	60
134	#FFFFFF	60
135	#FFFFFF	287
136	#FFFFFF	287
137	#FFFFFF	488
138	#FFFFFF	287
139	#FFFFFF	60
140	#FFFFFF	60
141	#FFFFFF	60
142	#FFFFFF	60
143	#FFFFFF	60
144	#FFFFFF	60
145	#FFFFFF	60
146	#FFFFFF	60
147	#FFFFFF	488
148	#FFFFFF	17
149	#FFFFFF	488
150	#FFFFFF	17
151	#FFFFFF	488
152	#FFFFFF	1317
153	#FFFFFF	72
154	#FFFFFF	72
155	#FFFFFF	72
156	#FFFFFF	72
157	#FFFFFF	95
158	#FFFFFF	95
159	#FFFFFF	95
160	#FFFFFF	72
161	#FFFFFF	72
162	#FFFFFF	72
163	#FFFFFF	72
164	#FFFFFF	72
165	#FFFFFF	72
166	#FFFFFF	72
167	#FFFFFF	72
168	#FFFFFF	72
169	#FFFFFF	72
170	#FFFFFF	72
171	#FFFFFF	72
172	#FFFFFF	486
173	#FFFFFF	72
174	#FFFFFF	72
175	#FFFFFF	705
176	#FFFFFF	101
177	#FFFFFF	72
178	#FFFFFF	72
179	#FFFFFF	72
180	#FFFFFF	72
181	#FFFFFF	72
182	#FFFFFF	72
183	#FFFFFF	5
184	#FFFFFF	5
185	#FFFFFF	5
186	#FFFFFF	5
187	#FFFFFF	101
188	#FFFFFF	597
189	#FFFFFF	5
190	#FFFFFF	5
191	#FFFFFF	5
192	#FFFFFF	5
193	#FFFFFF	60
194	#FFFFFF	60
195	#FFFFFF	5
196	#FFFFFF	5
198	#FFFFFF	101
199	#FFFFFF	101
200	#FFFFFF	101
201	#FFFFFF	101
202	#FFFFFF	101
203	#FFFFFF	72
204	#FFFFFF	72
205	#FFFFFF	72
206	#FFFFFF	72
207	#FFFFFF	72
208	#FFFFFF	95
209	#FFFFFF	72
210	#FFFFFF	95
211	#FFFFFF	72
212	#FFFFFF	72
213	#FFFFFF	420
214	#FFFFFF	72
215	#FFFFFF	72
216	#FFFFFF	101
217	#FFFFFF	72
218	#FFFFFF	72
219	#FFFFFF	1707
220	#FFFFFF	72
221	#FFFFFF	72
222	#FFFFFF	486
223	#FFFFFF	486
224	#FFFFFF	72
225	#FFFFFF	705
226	#FFFFFF	705
227	#FFFFFF	101
228	#FFFFFF	72
229	#FFFFFF	72
230	#FFFFFF	72
231	#FFFFFF	72
232	#FFFFFF	72
233	#FFFFFF	5
234	#FFFFFF	5
235	#FFFFFF	5
236	#FFFFFF	5
237	#FFFFFF	597
238	#FFFFFF	101
239	#FFFFFF	597
240	#FFFFFF	5
241	#FFFFFF	5
242	#FFFFFF	5
243	#FFFFFF	606
244	#FFFFFF	606
245	#FFFFFF	5
246	#FFFFFF	5
247	#FFFFFF	5
248	#FFFFFF	101
249	#FFFFFF	101
250	#FFFFFF	101
251	#FFFFFF	101
252	#FFFFFF	101
253	#FFFFFF	72
254	#FFFFFF	101
255	#FFFFFF	72
256	#FFFFFF	72
257	#FFFFFF	72
258	#FFFFFF	72
259	#FFFFFF	95
260	#FFFFFF	72
261	#FFFFFF	95
262	#FFFFFF	420
263	#FFFFFF	420
264	#FFFFFF	420
265	#FFFFFF	420
266	#FFFFFF	72
267	#FFFFFF	72
268	#FFFFFF	72
269	#FFFFFF	72
270	#FFFFFF	72
271	#FFFFFF	72
272	#FFFFFF	72
273	#FFFFFF	486
274	#FFFFFF	72
275	#FFFFFF	72
276	#FFFFFF	705
277	#FFFFFF	101
278	#FFFFFF	72
279	#FFFFFF	72
280	#FFFFFF	480
281	#FFFFFF	72
282	#FFFFFF	72
283	#FFFFFF	72
284	#FFFFFF	5
285	#FFFFFF	5
286	#FFFFFF	5
287	#FFFFFF	5
288	#FFFFFF	101
289	#FFFFFF	597
290	#FFFFFF	5
291	#FFFFFF	5
292	#FFFFFF	5
293	#FFFFFF	5
294	#FFFFFF	606
295	#FFFFFF	5
296	#FFFFFF	5
297	#FFFFFF	5
298	#FFFFFF	5
299	#FFFFFF	101
300	#FFFFFF	101
301	#FFFFFF	101
302	#FFFFFF	101
303	#FFFFFF	72
304	#FFFFFF	72
305	#FFFFFF	101
306	#FFFFFF	101
307	#FFFFFF	72
308	#FFFFFF	72
309	#FFFFFF	72
310	#FFFFFF	95
311	#FFFFFF	72
312	#FFFFFF	72
313	#FFFFFF	420
314	#FFFFFF	420
315	#FFFFFF	420
316	#FFFFFF	420
317	#FFFFFF	101
318	#FFFFFF	420
319	#FFFFFF	72
320	#FFFFFF	72
321	#FFFFFF	72
322	#FFFFFF	72
323	#FFFFFF	72
324	#FFFFFF	72
325	#FFFFFF	72
326	#FFFFFF	705
327	#FFFFFF	72
328	#FFFFFF	101
