group	x	y	clickSelects	showSelected1
132	-6.25	-0.25	107	9600,0
132	-6.25	0.25	107	9600,0
132	4.75	11.25	107	9600,0
132	5.25	11.25	107	9600,0
132	5.25	3.75	107	9600,0
132	4.25	2.75	107	9600,0
132	4.25	2.25	107	9600,0
132	5.25	1.25	107	9600,0
132	5.25	-0.25	107	9600,0
132	-6.25	-0.25	107	9600,0
132	-44.75	11.25	107	9650,0
132	-44.75	11.75	107	9650,0
132	-21.25	35.25	107	9650,0
132	-20.75	35.25	107	9650,0
132	-19.75	34.25	107	9650,0
132	-18.75	34.25	107	9650,0
132	-18.25	33.75	107	9650,0
132	-16.25	33.75	107	9650,0
132	-16.25	32.75	107	9650,0
132	-15.25	32.75	107	9650,0
132	-14.75	32.25	107	9650,0
132	-14.75	29.75	107	9650,0
132	-15.25	29.25	107	9650,0
132	-16.25	29.25	107	9650,0
132	-16.25	28.25	107	9650,0
132	-16.75	27.75	107	9650,0
132	-16.75	27.25	107	9650,0
132	-15.75	26.25	107	9650,0
132	-15.25	26.25	107	9650,0
132	-14.75	26.75	107	9650,0
132	-13.25	26.75	107	9650,0
132	-12.25	25.75	107	9650,0
132	-12.25	25.25	107	9650,0
132	-12.75	24.75	107	9650,0
132	-12.75	24.25	107	9650,0
132	-12.25	24.25	107	9650,0
132	-11.75	24.75	107	9650,0
132	-11.25	24.75	107	9650,0
132	-10.25	23.75	107	9650,0
132	-10.25	23.25	107	9650,0
132	-10.75	22.75	107	9650,0
132	-10.75	22.25	107	9650,0
132	-10.25	21.75	107	9650,0
132	-10.25	21.25	107	9650,0
132	-10.75	21.25	107	9650,0
132	-11.75	22.25	107	9650,0
132	-12.25	22.25	107	9650,0
132	-12.25	21.75	107	9650,0
132	-11.25	20.75	107	9650,0
132	-11.25	20.25	107	9650,0
132	-11.75	20.25	107	9650,0
132	-12.75	21.25	107	9650,0
132	-13.25	21.25	107	9650,0
132	-13.25	20.25	107	9650,0
132	-14.25	19.25	107	9650,0
132	-14.75	19.25	107	9650,0
132	-14.75	20.25	107	9650,0
132	-15.75	21.25	107	9650,0
132	-16.25	21.25	107	9650,0
132	-16.25	18.75	107	9650,0
132	-15.75	18.25	107	9650,0
132	-14.75	18.25	107	9650,0
132	-14.75	17.75	107	9650,0
132	-15.25	17.25	107	9650,0
132	-15.25	15.75	107	9650,0
132	-14.75	15.75	107	9650,0
132	-14.25	16.25	107	9650,0
132	-13.75	16.25	107	9650,0
132	-13.75	15.75	107	9650,0
132	-14.25	15.25	107	9650,0
132	-14.25	14.75	107	9650,0
132	-13.25	14.75	107	9650,0
132	-13.25	14.25	107	9650,0
132	-14.25	13.25	107	9650,0
132	-14.25	12.75	107	9650,0
132	-10.75	12.75	107	9650,0
132	-10.75	13.25	107	9650,0
132	-11.25	13.75	107	9650,0
132	-11.25	14.25	107	9650,0
132	-10.75	14.75	107	9650,0
132	-10.25	14.75	107	9650,0
132	-9.25	13.75	107	9650,0
132	-8.75	13.75	107	9650,0
132	-8.75	14.75	107	9650,0
132	-8.25	14.75	107	9650,0
132	-7.75	14.25	107	9650,0
132	-7.25	14.25	107	9650,0
132	-6.75	14.75	107	9650,0
