group	label	showSelected1
1	Cluster 15: 175/475 pixels shown, logFC -3.5 to 2.7, log10(p) 0.0 to 4.2	15
1	Cluster 59: 592/6575 pixels shown, logFC -3.8 to 3.6, log10(p) 0.0 to 11.1	59
1	Cluster 62: 1359/6014 pixels shown, logFC -2.6 to 3.9, log10(p) 0.0 to 8.7	62
1	Cluster 80: 21/21 pixels shown, logFC -1.3 to -0.5, log10(p) 3.5 to 18.0	80
1	Cluster 141: 68/326 pixels shown, logFC -0.8 to 1.8, log10(p) 0.0 to 11.8	141
1	Cluster 189: 1653/1893 pixels shown, logFC -3.1 to 2.7, log10(p) 0.0 to 11.8	189
1	Cluster 191: 572/647 pixels shown, logFC -3.5 to 3.6, log10(p) 0.0 to 2.9	191
1	Cluster 261: 107/623 pixels shown, logFC -1.8 to 3.6, log10(p) 0.0 to 2.4	261
1	Cluster 264: 8/8 pixels shown, logFC 0.6 to 1.2, log10(p) 7.6 to 19.0	264
1	Cluster 304: 40/613 pixels shown, logFC -1.8 to 3.0, log10(p) 0.0 to 12.5	304
1	Cluster 363: 38/86 pixels shown, logFC -3.1 to 1.0, log10(p) 0.0 to 2.2	363
1	Cluster 468: 9/9 pixels shown, logFC -0.7 to 1.2, log10(p) 0.9 to 19.8	468
1	Cluster 607: 8/8 pixels shown, logFC -1.7 to -0.9, log10(p) 7.7 to 21.5	607
1	Cluster 855: 5/5 pixels shown, logFC -0.5 to 1.0, log10(p) 7.4 to 10.9	855
1	Cluster 875: 5/5 pixels shown, logFC -4.3 to -1.8, log10(p) 0.4 to 2.1	875
1	Cluster 1210: 13/13 pixels shown, logFC -2.6 to -0.7, log10(p) 0.2 to 1.4	1210
1	Cluster 1211: 86/86 pixels shown, logFC -0.4 to 1.5, log10(p) 0.0 to 1.7	1211
1	Cluster 1453: 129/315 pixels shown, logFC -0.9 to 0.8, log10(p) 0.0 to 2.8	1453
1	Cluster 1457: 1/1 pixels shown, logFC 4.3 to 4.3, log10(p) 2.2 to 2.2	1457
1	Cluster 1570: 4/4 pixels shown, logFC 1.8 to 3.6, log10(p) 0.5 to 1.5	1570
1	Cluster 1593: 1/1 pixels shown, logFC -1.1 to -1.1, log10(p) 22.1 to 22.1	1593
